station,YYYY-MM-DD,daily_rain,daily_rain_source,max_temp,max_temp_source,min_temp,min_temp_source,vp,vp_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,evap_comb,evap_comb_source,radiation,radiation_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,et_morton_wet,et_morton_wet_source,metadata
33013,2009-01-01,    1.0,0, 31.4,0, 24.5,0, 27.1,0,  5.0,0,  4.8,26,  5.0,0, 14.2,25, 59.0,26, 88.2,26,  4.0,26,  5.0,26, 4.5,26,"name=COLLINSVILLE POST OFFICE                "
33013,2009-01-02,   17.2,0, 32.4,0, 23.3,0, 29.7,0,  5.4,25,  4.3,26,  5.4,25, 11.9,25, 61.1,26,100.0,26,  3.4,26,  4.1,26, 3.7,26,"latitude= -20.5533"
33013,2009-01-03,   72.0,0, 33.2,0, 22.6,0, 30.4,0,  4.2,0,  4.9,26,  4.2,0, 15.7,25, 59.8,26,100.0,26,  4.0,26,  4.7,26, 4.8,26,"longitude= 147.8464"
33013,2009-01-04,   12.8,0, 32.1,0, 23.2,0, 29.5,0,  5.0,0,  4.8,26,  5.0,0, 15.8,25, 61.7,26,100.0,26,  4.0,26,  4.7,26, 4.9,26,"elevation= 196.0 m"
33013,2009-01-05,    0.6,0, 33.0,0, 22.4,0, 26.9,0,  4.4,0,  6.0,26,  4.4,0, 21.2,25, 53.5,26, 99.3,26,  5.2,26,  6.2,26, 6.2,26,"reference=RXNVESCJHGFTW"
33013,2009-01-06,    9.8,0, 34.1,0, 22.0,0, 26.4,0,  6.2,0,  5.6,26,  6.2,0, 15.9,25, 49.4,26, 99.9,26,  4.5,26,  5.7,26, 5.1,26,"extracted=20210910"
33013,2009-01-07,    0.0,0, 32.4,0, 22.0,0, 24.1,0,  4.0,0,  5.8,26,  4.0,0, 18.8,25, 49.6,26, 91.2,26,  4.9,26,  6.1,26, 5.5,26,"Please read our web site for information about the meanings of the codes, and other information"
33013,2009-01-08,    1.0,0, 31.1,0, 23.6,0, 28.4,0,  2.6,0,  3.6,26,  2.6,0,  7.3,25, 62.9,26, 97.5,26,  2.6,26,  3.4,26, 2.4,26,""
33013,2009-01-09,   19.2,0, 34.0,0, 23.7,0, 29.3,0,  5.6,0,  5.3,26,  5.6,0, 15.9,25, 55.1,26,100.0,26,  4.4,26,  5.4,26, 5.1,26,""
33013,2009-01-10,    0.6,0, 32.4,0, 22.4,0, 23.4,0,  6.2,0,  6.0,26,  6.2,0, 19.4,25, 48.1,26, 86.4,26,  5.1,26,  6.4,26, 5.6,26,""
33013,2009-01-11,    0.0,0, 31.8,0, 21.4,0, 22.8,0,  4.8,0,  5.3,26,  4.8,0, 14.8,25, 48.5,26, 89.5,26,  4.3,26,  5.5,26, 4.5,26,""
33013,2009-01-12,    0.0,0, 28.2,0, 23.4,0, 22.4,0,  3.6,0,  3.9,26,  3.6,0,  9.4,25, 58.6,26, 77.9,26,  3.3,26,  4.3,26, 3.1,26,""
33013,2009-01-13,   16.4,0, 29.9,0, 21.0,0, 22.8,0,  5.8,0,  3.9,26,  5.8,0,  7.8,25, 54.0,26, 91.7,26,  3.0,26,  4.0,26, 2.6,26,""
33013,2009-01-14,    0.4,0, 28.6,0, 23.4,0, 25.5,0,  1.6,0,  4.1,26,  1.6,0, 12.9,25, 65.2,26, 88.6,26,  3.4,26,  4.2,26, 4.0,26,""
33013,2009-01-15,    9.2,0, 27.6,0, 22.9,0, 31.1,0,  1.4,0,  2.5,26,  1.4,0,  7.4,25, 84.2,26,100.0,26,  1.7,26,  1.8,26, 2.0,26,""
33013,2009-01-16,    2.2,0, 32.1,0, 23.4,0, 27.8,0,  5.4,0,  5.7,26,  5.4,0, 21.2,25, 58.1,26, 96.6,26,  5.0,26,  5.9,26, 6.3,26,""
33013,2009-01-17,    1.6,0, 34.7,0, 23.5,0, 27.9,0,  6.0,0,  6.0,26,  6.0,0, 18.3,25, 50.4,26, 96.4,26,  5.0,26,  6.2,26, 5.8,26,""
33013,2009-01-18,   34.0,0, 33.4,0, 20.4,0, 27.8,0,  6.8,0,  6.5,26,  6.8,0, 26.0,25, 54.0,26,100.0,26,  5.7,26,  6.5,26, 7.3,26,""
33013,2009-01-19,    0.0,0, 31.6,0, 21.7,0, 23.1,0,  7.4,0,  6.2,26,  7.4,0, 22.2,25, 49.7,26, 89.0,26,  5.4,26,  6.5,26, 6.1,26,""
33013,2009-01-20,    0.4,0, 31.4,0, 19.3,0, 22.1,0,  4.8,0,  5.7,26,  4.8,0, 18.7,25, 48.1,26, 98.8,26,  4.7,26,  5.8,26, 5.1,26,""
33013,2009-01-21,    0.0,0, 34.0,0, 21.7,0, 27.3,0,  4.6,0,  6.3,26,  4.6,0, 22.2,25, 51.3,26,100.0,26,  5.4,26,  6.4,26, 6.5,26,""
33013,2009-01-22,    0.0,0, 32.5,0, 24.1,0, 31.3,0,  3.0,0,  5.6,26,  3.0,0, 22.6,25, 64.0,26,100.0,26,  5.1,26,  5.7,26, 6.8,26,""
33013,2009-01-23,   13.8,0, 27.8,0, 23.9,0, 29.0,0,  3.0,0,  2.9,26,  3.0,0,  7.8,25, 77.6,26, 97.8,26,  2.2,26,  2.6,26, 2.3,26,""
33013,2009-01-24,   22.0,0, 31.0,0, 22.7,0, 28.6,0,  1.0,0,  4.4,26,  1.0,0, 14.2,25, 63.7,26,100.0,26,  3.6,26,  4.2,26, 4.3,26,""
33013,2009-01-25,    4.6,0, 26.8,0, 22.2,0, 30.4,0,  5.2,0,  2.5,26,  5.2,0,  8.5,25, 86.3,26,100.0,26,  1.7,26,  1.8,26, 1.4,26,""
33013,2009-01-26,    6.0,0, 32.8,0, 23.0,0, 29.5,0,  5.6,0,  4.7,26,  5.6,0, 13.7,25, 59.3,26,100.0,26,  3.7,26,  4.5,26, 4.3,26,""
33013,2009-01-27,    0.0,0, 31.9,0, 23.4,0, 26.9,0,  6.0,0,  4.1,26,  6.0,0,  8.1,25, 56.9,26, 93.5,26,  3.0,26,  4.0,26, 2.8,26,""
33013,2009-01-28,   23.4,0, 29.0,0, 21.7,0, 26.3,0,  2.6,0,  3.4,26,  2.6,0,  8.1,25, 65.7,26,100.0,26,  2.5,26,  3.1,26, 2.5,26,""
33013,2009-01-29,    1.2,0, 30.9,0, 21.6,0, 26.8,0,  5.2,0,  3.6,26,  5.2,0,  7.4,25, 60.0,26,100.0,26,  2.6,26,  3.4,26, 2.4,26,""
33013,2009-01-30,    2.2,0, 29.0,0, 22.5,0, 27.8,0,  3.0,0,  3.1,26,  3.0,0,  7.0,25, 69.4,26,100.0,26,  2.2,26,  2.8,26, 2.2,26,""
33013,2009-01-31,    0.2,0, 30.5,0, 22.4,0, 26.6,0,  4.2,0,  4.0,26,  4.2,0, 10.1,25, 60.9,26, 98.2,26,  3.1,26,  3.8,26, 3.2,26,""
