ZONE,TRIAL_TYPE,TRIAL,ENTRY_NO,DESIGNATION,GID,CROSS,REP_NO,NOHAV,EHARVE,ROOTL,PEDUNC,RCOLOR,PCOLOR,RFORM,RCONST,FOLIAG,ROOT,COMMER,ROOTEN,YIELDP,HI,YIELDH,YIELDY,CIANA,NPSEL,DMATTE,GERMIN,VIGOR,FLOWER,PHEIGH,RLEVEL,FRAMIF,SLENGT,PSTAKE,ROLLOV
7,6,GY199279,1, CM 3306-   4,87495,COL   22/ CM  523-   7,1,6,2,2,1,3,2,2,1,4,3,0,0,0.54,0.32,6.7,7.5,5,0,20.5,100,3,,185,1,143,5,9,1
7,6,GY199279,2, CM 3965-  15,85346,BRA   12/ CM   91-   3,1,4,2,3,2,3,1,2,1,3,4,1,0,0.85,0.4,7.1,7.9,9,0,16.3,85,3,,190,0,20,8,12,1
7,6,GY199279,3, CM 4119-   9,84994,BRA   12/ CM  507-  37,1,6,2,2,2,3,2,2,1,3,4,1,0,0.63,0.44,7.9,8.8,8,0,19,100,3,,195,1,18,25,10,1
7,6,GY199279,4, CM 4919-  11,83282,COL 2207/ SM  301-   3,1,5,1,2,2,3,1,2,2,3,4,0,0,0.36,0.32,3.8,4.2,6,0,19.6,95,2,,145,2,60,5,6,1
7,6,GY199279,5, CM 7747-   4,77634, CM 3408-   1/HMC    1,1,6,2,2,2,3,1,2,2,4,4,1,0,0.37,0.29,4.6,5.1,4,0,16.3,90,3,,160,0,,10,4,1
7,6,GY199279,6, SM 1014-   9,66203,COL 2057/,1,5,2,1,2,3,1,2,1,4,4,1,0,0.52,0.35,5.4,6,7,0,20,85,3,,160,0,,10,8,1
7,6,GY199279,7, SM 1079-   7,65524, CG  912-   9/,1,6,2,2,2,3,1,2,2,3,4,1,0,0.37,0.23,4.6,5.1,5,0,17,100,4,,170,1,110,10,12,1
7,6,GY199279,8, SM 1094-  17,65463, CM 3372-   4/,1,6,2,2,2,2,1,2,1,4,4,1,0,0.45,0.23,5.6,6.3,5,0,16.3,100,4,,200,0,,20,12,1
7,6,GY199279,9, SM 1116-   3,65365,CUB   32/,1,6,2,2,2,3,1,2,2,3,4,1,0,0.72,0.33,9,10,6,1,24.3,100,3,,190,1,110,5,10,1
7,6,GY199279,10, SM 1132-  20,65238, CM 3408-   1/,1,6,1,3,2,3,2,2,2,3,3,1,0,0.83,0.44,10.4,11.6,7,0,16.3,95,3,,170,0,,10,6,1
7,6,GY199279,11, SM 1180-   5,64918,BRA   12/,1,5,2,2,1,1,1,2,1,3,4,1,0,0.52,0.28,5.4,6,8,0,16.6,95,3,,190,2,110,5,12,1
